,taxid,family,genus_species,amr_fullname,gram_status,pathogenicity,I6_occupancy
0,1042209,Pseudomonadaceae,Pseudomonas fluorescens,Pseudomonas fluorescens,Gram-negative,Pathogenic,55
1,866499,Synergistaceae,Cloacibacillus evryensis,Cloacibacillus evryensis,Gram-negative,Non-pathogenic,9
2,69279,Phyllobacteriaceae,Aquamicrobium defluvii,Aquamicrobium defluvii,Gram-negative,Non-pathogenic,51
3,1461752,Sphingomonadaceae,Sphingobium sp. Ant17,Sphingobacterium multivorum,Gram-negative,Pathogenic,51
4,1457173,Comamonadaceae,Comamonas aquatica,Comamonas aquatica,Gram-negative,Potentially pathogenic,52
5,1158056,Streptomycetaceae,Streptomyces sp. PRh5,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
6,1339315,Bacteroidaceae,Bacteroides fragilis,Bacteroides fragilis,Gram-negative,Pathogenic,55
7,1339316,Bacteroidaceae,Bacteroides fragilis,Bacteroides fragilis,Gram-negative,Pathogenic,55
8,1339314,Bacteroidaceae,Bacteroides fragilis,Bacteroides fragilis,Gram-negative,Pathogenic,55
9,1458275,Comamonadaceae,Hylemonella gracilis,Hylemonella gracilis,Gram-negative,Non-pathogenic,52
10,1122180,Paracoccaceae,Limimaricola hongkongensis,Limimaricola hongkongensis,Gram-negative,Non-pathogenic,51
11,442562,Roseobacteraceae,Rubellimicrobium mesophilum,Rubellimicrobium mesophilum,Gram-negative,Non-pathogenic,51
12,1410620,Rhizobiaceae,Shinella sp. DD12,Salmonella Dan,Gram-negative,Pathogenic,51
13,574750,Burkholderiaceae,Cupriavidus sp. SK-4,Cupriavidus paucula,Gram-negative,Pathogenic,52
14,1317122,Flavobacteriaceae,Aquimarina atlantica,Aquimarina atlantica,Gram-negative,Non-pathogenic,55
15,1295642,Bacillaceae,Parageobacillus genomosp. 1,Paenibacillus macerans,Gram-positive,Pathogenic,7
16,1423806,Lactobacillaceae,Liquorilactobacillus sucicola,Liquorilactobacillus sucicola,Gram-positive,Non-pathogenic,7
17,1231351,Acetobacteraceae,Acidomonas methanolica,Acidomonas methanolica,Gram-negative,Potentially pathogenic,51
18,316,Pseudomonadaceae,Stutzerimonas stutzeri,Pseudomonas stutzeri,Gram-negative,Pathogenic,55
19,102611,Helicobacteraceae,Helicobacter pylori,Helicobacter pylori,Gram-negative,Pathogenic,44
20,1147786,Pseudomonadaceae,Pseudomonas mandelii,Pseudomonas mandelii,Gram-negative,Potentially pathogenic,55
21,1301098,Pseudomonadaceae,Pseudomonas knackmussii,Pseudomonas knackmussii,Gram-negative,Potentially pathogenic,55
22,1470589,Pseudomonadaceae,Pseudomonas sp. RIT288,Pseudomonas fulva,Gram-negative,Pathogenic,55
23,29581,Oxalobacteraceae,Janthinobacterium lividum,Janthinobacterium lividum,Gram-negative,Non-pathogenic,52
24,1470591,Sphingomonadaceae,Sphingomonas sp. RIT328,Sphingomonas devorans,Gram-negative,Pathogenic,51
25,1470593,Pseudomonadaceae,Pseudomonas sp. RIT357,Pseudomonas fulva,Gram-negative,Pathogenic,55
26,158500,Sphingomonadaceae,Novosphingobium resinovorum,Novosphingobium resinovorum,Gram-negative,Non-pathogenic,51
27,1454373,Roseobacteraceae,Actibacterium mucosum,Actibacterium mucosum,Gram-negative,Non-pathogenic,51
28,1280950,Hyphomonadaceae,Hyphomonas johnsonii,Hyphomonas johnsonii,Gram-negative,Non-pathogenic,46
29,1280951,Hyphomonadaceae,Hyphomonas hirschiana,Hyphomonas hirschiana,Gram-negative,Non-pathogenic,46
30,1280953,Hyphomonadaceae,Hyphomonas oceanitis,Hyphomonas oceanitis,Gram-negative,Non-pathogenic,46
31,1286631,Sphaerotilaceae,Sphaerotilus natans,Sphaerotilus natans,Gram-negative,Non-pathogenic,52
32,1419583,Pseudomonadaceae,Pseudomonas mandelii,Pseudomonas mandelii,Gram-negative,Potentially pathogenic,55
33,303,Pseudomonadaceae,Pseudomonas putida,Pseudomonas putida,Gram-negative,Pathogenic,55
34,1971,Streptomycetaceae,Streptomyces noursei,Streptomyces noursei,Gram-positive,Potentially pathogenic,37
35,1301032,Rhizobiaceae,Rhizobium etli,Rhizobium etli,Gram-negative,Potentially pathogenic,51
36,1246626,Bacillaceae,Shouchella lehensis,Shouchella oshimensis,Gram-positive,Non-pathogenic,6
37,1426844,Helicobacteraceae,Helicobacter pylori,Helicobacter pylori,Gram-negative,Pathogenic,44
38,1433126,Rikenellaceae,Mucinivorans hirudinis,Mucinivorans hirudinis,Gram-negative,Non-pathogenic,55
39,573,Enterobacteriaceae,Klebsiella pneumoniae,Klebsiella pneumoniae,Gram-negative,Pathogenic,56
